sorteo,fecha,ventas_totales,boletos_estimados,LOTO_n1,LOTO_n2,LOTO_n3,LOTO_n4,LOTO_n5,LOTO_n6,LOTO_comodin,LOTO_GANADORES,LOTO_MONTO,LOTO_POZO_ACUMULADO,RECARGADO_6_ACIERTOS_GANADORES,REVANCHA_n1,REVANCHA_n6,REVANCHA_GANADORES,DESQUITE_n1,DESQUITE_n6,DESQUITE_GANADORES,AHORA_SI_QUE_SI_n1,AHORA_SI_QUE_SI_n6,anio,mes,dia,dia_semana,LOTO_pos1,LOTO_pos2,LOTO_pos3,LOTO_pos4,LOTO_pos5,LOTO_pos6,REVANCHA_pos1,REVANCHA_pos2,REVANCHA_pos3,REVANCHA_pos4,REVANCHA_pos5,REVANCHA_pos6,REVANCHA_n2,REVANCHA_n3,REVANCHA_n4,REVANCHA_n5,DESQUITE_pos1,DESQUITE_pos2,DESQUITE_pos3,DESQUITE_pos4,DESQUITE_pos5,DESQUITE_pos6,DESQUITE_n2,DESQUITE_n3,DESQUITE_n4,DESQUITE_n5,AHORA_SI_QUE_SI_pos1,AHORA_SI_QUE_SI_pos2,AHORA_SI_QUE_SI_pos3,AHORA_SI_QUE_SI_pos4,AHORA_SI_QUE_SI_pos5,AHORA_SI_QUE_SI_pos6,AHORA_SI_QUE_SI_n2,AHORA_SI_QUE_SI_n3,AHORA_SI_QUE_SI_n4,AHORA_SI_QUE_SI_n5,JUBILAZO_1_pos1,JUBILAZO_1_pos2,JUBILAZO_1_pos3,JUBILAZO_1_pos4,JUBILAZO_1_pos5,JUBILAZO_1_pos6,JUBILAZO_1_n1,JUBILAZO_1_n2,JUBILAZO_1_n3,JUBILAZO_1_n4,JUBILAZO_1_n5,JUBILAZO_1_n6,MULTIPLICAR_pos1,MULTIPLICAR_n1,SUPER_QUINA_5_ACIERTOS_COMODIN_GANADORES,SUPER_QUINA_5_ACIERTOS_COMODIN_MONTO,QUINA_5_ACIERTOS_GANADORES,QUINA_5_ACIERTOS_MONTO,SUPER_CUATERNA_4_ACIERTOS_COMODIN_GANADORES,SUPER_CUATERNA_4_ACIERTOS_COMODIN_MONTO,CUATERNA_4_ACIERTOS_GANADORES,CUATERNA_4_ACIERTOS_MONTO,SUPER_TERNA_3_ACIERTOS_COMODIN_GANADORES,SUPER_TERNA_3_ACIERTOS_COMODIN_MONTO,TERNA_3_ACIERTOS_GANADORES,TERNA_3_ACIERTOS_MONTO,SUPER_DUPLA_2_ACIERTOS_COMODIN_GANADORES,SUPER_DUPLA_2_ACIERTOS_COMODIN_MONTO,RECARGADO_6_ACIERTOS_MONTO,REVANCHA_MONTO,DESQUITE_MONTO
3803,2016-01-03 21:00:00,0,0,7,14,16,19,24,35,5,0,0,0,0,1,38,0,2,41,0,11,38,2016,1,3,Sunday,7,14,16,19,24,35,1,8,9,27,30,38,8,9,27,30,2,17,18,28,31,41,17,18,28,31,11,20,25,29,37,38,20,25,29,37,8,9,11,14,21,36,8,9,11,14,21,36,2,2,0,0,18,3145680,58,3145340,763,3143560,1278,3143880,10517,11042850,9919,9919000,0,0,0
3804,2016-01-05 21:00:00,0,0,3,8,11,20,23,24,25,1,1108193560,0,0,1,34,0,5,39,0,3,32,2016,1,5,Tuesday,3,8,11,20,23,24,1,5,18,21,32,34,5,18,21,32,5,11,14,15,19,39,11,14,15,19,3,5,7,21,29,32,5,7,21,29,5,10,16,27,29,36,5,10,16,27,29,36,4,4,4,10161240,18,2951100,54,2951100,1062,2952360,1140,2952600,12668,13301400,8013,8013000,0,0,0
3805,2016-01-07 21:00:00,0,0,1,5,10,12,14,18,4,0,0,0,0,11,35,0,8,33,0,7,41,2016,1,7,Thursday,1,5,10,12,14,18,11,19,21,31,32,35,19,21,31,32,8,10,26,30,31,33,10,26,30,31,7,13,19,20,25,41,13,19,20,25,1,4,7,14,25,27,1,4,7,14,25,27,6,6,0,0,28,2540160,72,2540160,935,2543200,1196,2535520,10628,11159400,9256,9256000,0,0,0
3806,2016-01-10 21:00:00,0,0,16,18,22,23,34,36,38,1,211614260,0,0,5,34,0,5,41,0,9,40,2016,1,10,Sunday,16,18,22,23,34,36,5,6,25,30,31,34,6,25,30,31,5,15,22,25,38,41,15,22,25,38,9,15,18,22,32,40,15,18,22,32,21,24,27,32,35,40,21,24,27,32,35,40,5,5,1,9810250,8,3346000,17,3346110,484,3494480,467,3348390,8677,10499170,4268,4268000,0,0,0
3807,2016-01-12 21:00:00,0,0,1,19,22,35,36,37,5,0,0,0,0,2,38,0,5,31,0,1,37,2016,1,12,Tuesday,1,19,22,35,36,37,2,6,7,13,33,38,6,7,13,33,5,6,10,20,30,31,6,10,20,30,1,4,29,30,34,37,4,29,30,34,9,17,30,31,36,38,9,17,30,31,36,38,4,4,0,0,8,2421600,25,2421500,308,2420880,616,2420880,4906,7604300,6205,6205000,0,0,0
3808,2016-01-14 21:00:00,0,0,2,8,18,24,32,38,28,0,0,0,0,1,36,0,2,27,0,4,41,2016,1,14,Thursday,2,8,18,24,32,38,1,6,15,23,28,36,6,15,23,28,2,3,11,12,14,27,3,11,12,14,4,6,11,22,32,41,6,11,22,32,3,20,25,28,29,33,3,20,25,28,29,33,2,2,5,8050350,21,2408700,67,2408650,583,2407790,946,2412300,7226,7587300,5915,5915000,0,0,0
3809,2016-01-17 21:00:00,0,0,9,14,15,22,35,38,29,0,0,0,0,26,38,0,11,34,0,1,27,2016,1,17,Sunday,9,14,15,22,35,38,26,29,31,32,35,38,29,31,32,35,11,19,22,24,31,34,19,22,24,31,1,17,21,22,25,27,17,21,22,25,7,11,14,20,26,39,7,11,14,20,26,39,4,4,0,0,4,3278720,27,3278880,510,3279300,756,3281040,8193,10323180,7023,7023000,0,0,0
3810,2016-01-19 21:00:00,0,0,15,19,20,30,31,41,14,0,0,0,0,8,40,0,4,37,0,20,41,2016,1,19,Tuesday,15,19,20,30,31,41,8,14,34,38,39,40,14,34,38,39,4,6,12,15,27,37,6,12,15,27,20,25,31,33,38,41,25,31,33,38,3,9,13,27,31,40,3,9,13,27,31,40,2,2,0,0,9,2482650,15,2482650,319,2481820,490,2484300,6113,7824640,4615,4615000,0,0,0
3811,2016-01-21 21:00:00,0,0,2,24,34,35,37,39,20,0,0,0,0,13,40,0,5,37,0,10,31,2016,1,21,Thursday,2,24,34,35,37,39,13,15,16,20,22,40,15,16,20,22,5,14,27,33,36,37,14,27,33,36,10,11,12,13,21,31,11,12,13,21,3,16,21,24,25,36,3,16,21,24,25,36,7,7,1,13890180,2,2572740,11,2572790,281,2573960,392,2571520,4602,8099520,3758,3758000,0,0,0
3812,2016-01-24 21:00:00,0,0,9,15,25,28,33,39,3,1,604346120,0,0,4,37,0,6,29,0,1,38,2016,1,24,Sunday,9,15,25,28,33,39,4,7,15,26,27,37,7,15,26,27,6,12,16,17,19,29,12,16,17,19,1,2,8,18,37,38,2,8,18,37,2,5,13,23,36,38,2,5,13,23,36,38,4,4,2,5736600,16,3441920,99,3442230,715,3439150,1771,3435740,9896,10786640,12605,12605000,0,0,0
