id,fecha_generacion,numeros,jugado_realmente,estado,sorteo_objetivo,aciertos,delta_suma,proximidad_prom,paridad_info,zonas_ok,terminaciones_ok,rango_info,consecutivos_info,primos_info
1764727414,14/10/2025 20:11:05,"[2, 13, 17, 25, 34, 41]",SI,FINALIZADO,5334,0,9,3.2,Pred:2P - Real:3P,5,1,P:39 / R:39,P:0 / R:2,P:4 / R:2
1764727415,16/10/2025 19:19:19,"[1, 12, 13, 15, 17, 25]",SI,FINALIZADO,5335,0,10,3.3,Pred:1P - Real:5P,4,2,P:24 / R:26,P:1 / R:0,P:2 / R:2
1764727416,21/10/2025 19:31:20,"[5, 9, 12, 9, 33, 41]",SI,FINALIZADO,5337,0,11,7.2,Pred:1P - Real:2P,3,3,P:36 / R:26,P:0 / R:1,P:2 / R:3
1764727417,30/10/2025 9:08:22,"[1, 13, 14, 28, 30, 35]",SI,FINALIZADO,5341,0,-4,5.0,Pred:3P - Real:3P,4,4,P:34 / R:21,P:1 / R:1,P:1 / R:1
1764727418,29/11/2025 17:32:01,"[6, 8, 22, 27, 29, 41]",SI,FINALIZADO,5354,0,28,7.7,Pred:3P - Real:3P,0,4,P:35 / R:28,P:0 / R:3,P:2 / R:2
1764727419,1/12/2025 23:14:05,"[11, 12, 22, 25, 32, 38]",SI,FINALIZADO,5355,1,-6,3.0,Pred:4P - Real:2P,4,2,P:27 / R:34,P:1 / R:0,P:1 / R:3
1764863364,3/12/2025 16:17:17,"[7, 10, 19, 26, 33, 38]",NO,PENDIENTE,,,,,,,,,,
1764863365,3/12/2025 17:05:20,"[1, 4, 14, 27, 28, 41]",NO,PENDIENTE,,,,,,,,,,
1764863366,3/12/2025 17:16:46,"[1, 11, 15, 28, 30, 38]",NO,PENDIENTE,,,,,,,,,,
1764863367,3/12/2025 18:35:44,"[3, 8, 18, 22, 38, 40]",NO,PENDIENTE,,,,,,,,,,
1764863368,3/12/2025 18:35:54,"[8, 12, 19, 21, 30, 36]",NO,PENDIENTE,,,,,,,,,,
